id,place,place_name,phase,phase_years,phase_title,name_en,name_fr,source_ref,source_generation,canonical,styles,style_label,tenure_plan,storeys,roof_form,roof_pitch_deg,window_proportion,principal_cladding,roofing,garage,lot_width_min_m,lot_width_max_m,setback_front_m,setback_side_m,front_yard_green_pct,siting_landscape,massing,articulation,openings,materials,conservation,models_observed,phase_confidence,sectors,tid,fiche_id,courant,quartiers,count_in_place,is_courant,is_residential,source_url,blurb_en,origin_en,photo_file,photo_credit
gatineau.maison-plan-l-toit-deux-versants,gatineau,Gatineau,p2,1850 – 1900,The match works and the first maisons allumettes,L-plan house with a two-slope (gable) roof (maison avec plan en L à toit à deux versants),La maison avec plan en L à toit à deux versants,"Ville de Gatineau, fiche « La maison avec plan en L à toit à deux versants » (Enclume, 2023)",2023 type fiches (Ville de Gatineau),l-plan-gable-house,,,single-family,1.5–2.5,gabled,,vertical,wood-clapboard; clay-brick-red,,,,,,,,"Marked presence in the Buckingham and Aylmer sectors and, to a lesser extent, in the Gatineau (rural sector), Masson-Angers and Hull sectors.","Roof of two straight slopes with a medium to steep pitch. | Roof of two mansarded slopes (rare). | One and a half storeys, two storeys or two and a half storeys. | The half-storey is located under the attic. | L-shaped plan made up of two building volumes set perpendicular to one another. | Covered gallery on one or two façades (frequent). | The gallery is, with or without a balustrade, carried by worked columns (frequent) of square, round or turned form whose dimensions vary between 3 ½ and 10 ½ inches in width. A pediment punctuates the gallery roof at the entrance (occasional).",Return of the eaves (occasional). | Corner boards (frequent) on wood-clad houses. | Wood casings around the windows (frequent) on wood-clad houses. | Soldier-course bricks or arched brick lintels above the openings (frequent). | Brackets (occasional) and lambrequins (rare) on the projections. | Play of relief with the brick on the façade (rare).,"Simple main door, with a transom above the door (occasional). | Presence of two entrance doors (occasional), in each of the main volumes. | The typical windows are vertical, sash (guillotine) type (frequent) with 4 panes (occasional), 6 panes (rare), 9 panes (occasional), or 12 panes (rare). | Shed dormers, dormers with hanging windows (occasional) or gabled dormers (rare). | Window high in the gable (occasional).","Exterior cladding of wood clapboard or rabbeted boards (frequent). | Exterior cladding of red clay brick in Modular format (8"" × 2 ½"" × 3 ½""), with a stretcher bond (occasional).","Prefer: Additions should be made at the rear of the building and remain little visible from the street. In the case of a contemporary addition at the rear, the new volume could take inspiration from the size and forms of the original extensions or secondary volumes. | Prefer: Maintain and keep the original components of the projections and galleries as well as the massing. | Prefer: When replacement of the original components is unavoidable, favour materials or a massing whose appearance recalls the original. A contemporary interpretation could nevertheless be permitted. | Avoid: Avoid volumetric additions that make it no longer possible to distinguish the building's original L arrangement. | Avoid: Avoid removing a projection, significantly changing the form of its openings, or covering it with materials that do not correspond to the initial materials. | Prefer: When replacing the windows, choose sash (guillotine) models. Favour a model with a number of panes similar to the original or to other houses of the same model built in the same period. | Prefer: For windows high in the gable, keep the form of the window. | Prefer: Respect and maintain the original arrangement of the openings. | Avoid: Where the house has a second entrance, avoid removing it. | Avoid: Avoid replacing sash (guillotine) windows with casement windows or with any other type of opening mechanism. | Avoid: Avoid changing the dimensions of the windows or blocking them up. | Prefer: Favour a cladding material in keeping with the identified original materials. Other complementary materials could nevertheless be considered for the addition of a new volume. | Avoid: Avoid choosing a cladding whose appearance or finish does not correspond to the pre-identified original cladding materials for the original volumes. | Prefer: The original ornamentation should be maintained and kept, or else replaced when its preservation is not possible. | Avoid: Avoid adding ornaments that do not correspond to the pre-identified originals or that never existed on the building. | Avoid: Avoid removing original ornaments without replacing them.",,verified,,,,,,,False,True,,"Two wings meeting at a right angle under a straight two-slope roof of medium to steep pitch. A covered gallery on one or two façades is frequent, commonly on worked columns; in rural settings it is often set into the crook of the L. Walls are usually wood clapboard or rabbeted board, sometimes red Modular brick. Some of these houses carry two entrance doors, one to each main volume.","The L-plan house with a two-slope roof appears toward the end of the 19th century, when industrialisation made possible the mass production of standardised building materials, many of them in wood. Architectural and ornamental wood elements such as doors and windows were also available by catalogue, which gave the chance to personalise different types of houses, and the plans of these houses — the L-plan among them — were themselves available by catalogue. The period corresponds to a major development of North American cities, where demand for housing intensified because of the rural exodus. Though present in urban settings, the L-plan house also spread in rural areas in the context of settlement of the territory. The perpendicular arrangement of the two building volumes gives a spacious volume, less compact than a rectangular or cubic plan, it also allows a gallery to be inserted in the crook of the L, particularly observable in rural settings, and the numerous exterior walls that permit windows offering different views.",,"Enclume. 2023. 9, rue Donaldson — Ville de Gatineau. Not reproduced: the City's conditions of use prohibit republication to third parties."
hampstead.english-revival-stone,hampstead,Hampstead,p2,1923 – 1945,Schlemm's plan and the English-revival stone core,English-revival stone house,Maison en pierre d'inspiration anglaise,"Ville de Montréal, Évaluation du patrimoine urbain — arrondissement de Côte-Saint-Luc–Hampstead–Montréal-Ouest (2005), sector fiches",sector fiches (2005),english-revival-stone-2st,tudor-revival; colonial-revival; arts-and-crafts,Tudor Revival / Colonial Revival (New England / Cape Cod) / Arts and Crafts,single-family,2,,,vertical,stone; clay-brick,,,,,,,,Large single-family lots on curving streets with generous setbacks; no commercial or industrial use anywhere in the town.,Two-storey volumes.,,,Stone dominant — « dans le Vieux-Hampstead la pierre domine » — with some brick.,,,,18.E.3,,,,,,False,True,,"The interwar stone house of Vieux-Hampstead: two storeys in an English-revival idiom, set back on a curving street, « fortement inspirés des styles anglais aussi présents en grand nombre à Westmount ».","The Garden City model imported by name from Hampstead in London. Early houses, to 1923, were built to standards borrowed from Westmount; from 1923 the Town applied its own, and from 1926 a Commission consultative d'architecture reviewed them — all on a plan drawn during the 1920s by the landscape architect Leonard E. Schlemm, the designer of Westmount's Priest's Farm (1926–1930), which is why the two enclaves read alike.",,"pending: photograph on site — rue Thurlow, Vieux-Hampstead (sector 18.E.3)"
hampstead.postwar-detached,hampstead,Hampstead,p3,1945 – 1980,Postwar expansion on the original street pattern,Postwar detached house,Maison unifamiliale d'après-guerre,"Ville de Montréal, Évaluation du patrimoine urbain — arrondissement de Côte-Saint-Luc–Hampstead–Montréal-Ouest (2005), sector fiches",sector fiches (2005),postwar-2st-box-low-hip; one-storey-ranch-low-roof,minimal-traditional; ranch; split-level,Minimal Traditional / Ranch / Split-level,single-family,,,,,,,,,,,,,"The original street pattern continued: single-family houses on large lots along curving streets, many of the 1940s and later.",,,,,,,,18.I.4; 18.U.1,,,,,,False,True,,"The houses of Hampstead's second development phase, filling the 1913 street pattern after the war on the same large lots.",Postwar suburban expansion within the original garden-suburb plan. Bungalows and split-levels are more characteristic of adjacent Côte-Saint-Luc (sector 18.U.2) than of Hampstead itself.,,"pending: photograph on site — rue Thurlow, Vieux-Hampstead (sector 18.E.3)"
hampstead.contemporary-rebuild,hampstead,Hampstead,p4,1980 – 2020,Rebuilds on the garden-suburb lots,Contemporary rebuild,Reconstruction contemporaine,"Ville de Montréal, Évaluation du patrimoine urbain — arrondissement de Côte-Saint-Luc–Hampstead–Montréal-Ouest (2005), sector fiches",sector fiches (2005),,,,single-family,,,,,,,,,,,,,,,,,,,,,18.I.4,,,,,,False,True,,"The rebuilding of the garden-suburb lots, under way but undocumented.",Not characterised in any retrievable source; the Town's protection is discretionary (PIIA 775 and demolition by-law 1009) rather than provincial.,,"pending: photograph on site — rue Thurlow, Vieux-Hampstead (sector 18.E.3)"
ile-orleans.maison-inspiration-francaise,ile-orleans,Île d'Orléans,p1,1636 – 1760,Seigneurie and the six parishes,House of French inspiration,La maison d'inspiration française,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 26","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",french-rural-house-1st-hip; french-urban-house-stone,french-regime,French-regime rural house,single-family,1–1.5,gabled-or-hipped-steep,45,vertical,fieldstone-rendered; wood,cedar shingle,,,,,,,"Present in every municipality on the island and relatively abundant — the surviving fabric of the Régime français. | The plan de conservation places the Régime-français houses near the river, reached from the chemin Royal by long montées.","Low rectangular main body with no or almost no foundation; the original volume has often been lengthened rather than replaced. | Steep two-slope or hipped roof, over 45°, most often covered in cedar shingle.","Ornament reduced to its simplest expression, limited to encadrements, linteaux, chambranles and épis.","Asymmetrical façade composition; few openings, to limit heat loss. | Double-casement windows with small panes, fitted with functional shutters.","Stone carré carrying a slight batter (fruit), often rendered or clad in wood. | Massive stone chimney at the centre of the house.",,,verified,UP-1; UP-2,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The island's founding house and still its commonest old one: a low stone box with barely any foundation, its walls battered slightly inward, a single massive chimney at the centre, and a roof so steep and so short-eaved that it reads as almost all roof. Everything decorative is in the frames of the openings.","The house of the Régime français, built from the first concessions of 1648 onward and repeatedly lengthened rather than replaced. The inventory describes it as an architecture ""sans architecte"", brought by colonists and tradesmen from rural France and adapted fast to local stone, local timber and a hard climate — more chimney stacks, fewer openings. Dormers appear only at the end of the regime. Most of the island's nineteen classed immeubles patrimoniaux belong to this courant.",assets/places/ile-orleans/maison-morisset-commons.jpg,"Maison Morisset, 4417 chemin Royal, Sainte-Famille — a classed house of this courant. Photograph by Benoit Rochon, CC BY-SA 3.0. Licence: https://creativecommons.org/licenses/by-sa/3.0. File: https://commons.wikimedia.org/wiki/File:Maison_Morisset,_Sainte-Famille,_%C3%AEle_d%27Orl%C3%A9ans,_Qu%C3%A9bec.JPG"
ile-orleans.maison-traditionnelle-quebecoise,ile-orleans,Île d'Orléans,p2,1760 – 1840,After the Conquest — the neoclassical Québec house,Traditional Québec house of neoclassical influence,La maison traditionnelle québécoise d'influence néoclassique,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 28","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",quebec-traditional-1-5st-gable,neoclassical-quebec,Québec neoclassical,single-family,1.5–2.5,gabled,45,vertical,wood; brick; fieldstone-rendered,traditional tin or cedar shingle,,,,,,,"""Très bien représentée à l'île d'Orléans"" — the commonest house of the 19th century here. | The plan de conservation credits it with shaping the identity of the village sectors, particularly Saint-Laurent and Saint-Jean.","Generally 1½ storeys, sometimes 2½, on a pièce-sur-pièce wood carré — occasionally brick or stone — raised slightly off the ground, which is what produces the gallery and its steps. | Two-slope roof of about 45°, its larmiers incurvés carried well past the front and rear walls to shelter the gallery; where the slopes are straight, an independent lean-to roof (auvent, garde-soleil) does the same job. | A cuisine d'été sometimes extends the house longitudinally or transversally, repeating the main volume at reduced scale.","Ornament generally sober — chambranles and planches cornières. | Richer variants take on a more eclectic decor: aisseliers, corniches, balustrades, ornamental woodwork.","Symmetrical façade composition, with many openings. | Double-casement windows with large panes; fronton or gable dormers lighting the attic.","Cladding usually wood — horizontal or vertical boards, or cedar shingle — but sometimes stone or brick masonry. | Chimney stacks generally in line with the gable wall.",,,verified,UP-1; UP-2,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The synthesis of French practice and English neoclassicism, and the island's most numerous 19th-century house: a low wooden carré lifted just enough off the ground to need a gallery and steps, under a roof whose eaves curve outward to cover them. The summer kitchen trailing off one end is part of the type, not an afterthought.","The Conquest of 1760 changed the buildings slowly. Tradesmen stayed and French practice held for decades; English classical architecture arrived early in the 19th century with military engineers, British architects and pattern books, and the two produced what the inventory calls ""une synthèse originale connue sous le nom de maison traditionnelle québécoise"". Its variants run from a bare rural carré to an ornamented village house, according to site and to the owner's standing.",assets/places/ile-orleans/7327-chemin-royal-cuisine-ete-commons.jpg,"Cuisine d'été at 7327 chemin Royal, Saint-Laurent-de-l'Île-d'Orléans — the summer kitchen the inventory names as part of this type. Photograph by Thomas1313, CC BY-SA 4.0. Licence: https://creativecommons.org/licenses/by-sa/4.0. File: https://commons.wikimedia.org/wiki/File:7327,_Chemin_Royal,_Saint-Laurent-de-l%27%C3%8Ele-d%27Orl%C3%A9ans_01.jpg"
ile-orleans.cottage-regency,ile-orleans,Île d'Orléans,p3,1840 – 1900,"Chemin Royal, the mansard, and villégiature at Sainte-Pétronille",Regency cottage,Le cottage Regency,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 32","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",regency-cottage-hipped-veranda,regency,Regency,single-family,1–2,hipped,,vertical,brick; stone; wood,cedar shingle or traditional tin,,,,,,,"""Relativement rare dans le site patrimonial de l'Île-d'Orléans et particulièrement présent dans la municipalité de Sainte-Pétronille."" | Meant for a large wooded lot: ""le cottage Régence arbore une architecture en communion avec son environnement"".","Plan tending toward a square; one or two occupied levels. | Low, wide four-slope roof whose eaves are sometimes upturned and are carried out far enough to roof a gallery running right round the house.",Sober ornament drawn from the classical repertoire — entablements and frontons. | Trellis gallery supports are frequent.,"Symmetrical composition of the openings. | Casement windows with large panes, sometimes as French doors; rampantes, hipped or gable dormers.","Walls of brick, stone or wood. | Central chimney.",,,verified,UP-2; UP-3,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The villégiature house of the British in Québec, and on this island almost entirely a Sainte-Pétronille phenomenon: a squarish block under a low, wide, sometimes upturned hipped roof whose eaves keep going until they have covered a veranda all the way around. French doors open onto it.","A Regency-period English form — ""apparu en Angleterre sous le règne du Prince de Galles au début du 19e siècle"" — introduced to Québec by the British and taken up by townspeople who wanted a summer house. It belongs to the romantic current, and it is the type most tightly bound to one of the island's five landscape units: the villégiature sector that grew at Sainte-Pétronille after the Québec ferry began running in 1855.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 33 — six captioned examples, all at Sainte-Pétronille except 1585 chemin Royal, Saint-Laurent — including the brick example at 12 chemin de l'Église and a two-storey variant at 12 rue Gagnon. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.second-empire-maison-mansardee,ile-orleans,Île d'Orléans,p3,1840 – 1900,"Chemin Royal, the mansard, and villégiature at Sainte-Pétronille",Second Empire style and the mansard house,Le style Second Empire et la maison à mansarde,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 30","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",mansard-house-2st,second-empire,Second Empire / mansard,single-family,2,mansard,,vertical,wood; brick; cut-stone,traditional tin,,,,,,,"""Ce courant est bien présent à l'île d'Orléans."" | A late arrival: Second Empire reaches Québec in the last quarter of the 19th century and only afterwards becomes a village house.","Rectangular two-storey body raised slightly off the ground, on a wood frame. | Broken roof à la Mansart, of two or four slopes, made of brisis and terrassons — the shape that empties the attic and turns it into a fully habitable second storey.","Ornament generally sober: chambranles, planches cornières and a cornice under the brisis. | Richer variants take on a more eclectic decor. The inventory's showpiece is the ancien presbytère de Sainte-Famille, brick, ""avec un parement de brique et une ornementation très élaborée"".","Symmetrical façade composition. | Casement windows with large panes or sash windows, and dormers set in the brisis.","Wood-plank or brick cladding, sometimes cut stone. | Gallery under an independent awning on one or more elevations.",,,verified,,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The bourgeois Paris roof, arriving in a Québec village as a way of getting a second full floor. What the inventory calls a ""version populaire et modeste"" of the monumental style keeps only the mansard itself — the shallow terrasson above, the near-vertical brisis below, dormers punched through it — and the silhouette that villagers evidently liked.","Second Empire architecture takes its source from Paris under Napoléon III (1852–1870) and reaches Québec in the last quarter of the 19th century, at first for institutional buildings and bourgeois houses. The maison à mansarde is its domestic descendant: the roof survives, the avant-corps and the turret mostly do not. On this island it is common enough that the inventory calls the whole courant well represented.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 31 — six captioned examples, including the two-slope type example at 1404 chemin Royal, a four-slope brick house at 1778 chemin Royal and the ancien presbytère de Sainte-Famille. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.eclectisme-victorien,ile-orleans,Île d'Orléans,p3,1840 – 1900,"Chemin Royal, the mansard, and villégiature at Sainte-Pétronille",Victorian eclecticism,L'éclectisme victorien,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 34","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",queen-anne-irregular-2-5st,victorian-eclectic,Victorian eclecticism,single-family,2–2.5,gabled-multi,,vertical,brick; stone; wood,varied,,,,,,,"""Le site patrimonial de l'Île-d'Orléans comporte peu d'exemples architecturaux issus de l'éclectisme victorien."" | What survives is a handful of genuinely eclectic houses plus common types — maison cubique, maison traditionnelle québécoise — carrying a very elaborate Victorian decor.","Asymmetrical plan with no typical plan at all; a very articulated volume with many projections and advances. | Irregular roofs made of gables or turrets, often pierced by dormers.","Galleries and ornamented covered balconies, often continuing across more than one elevation. | Varied ornament: neoclassical fronton, ornamental woodwork, mâts, épis, consoles, encorbellements.","No typical opening; several kinds of opening on one building, including bay windows (bow, oriel).","Several materials and colours combined on a single building — brick, stone, decorative or polychrome shingle.",,,verified,,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The one courant on the island defined by refusing a rule. Plan asymmetrical, volume broken into projections, roof irregular and full of gables and turrets, several materials and colours at once, and no typical window. The inventory admits there are very few real examples here — mostly it is ordinary house types wearing an extraordinary decor.","Québec architecture arrives at eclecticism toward the end of the 19th century, ""un peu en réaction aux compositions rigides du classicisme"", fusing borrowed elements from different periods and countries rather than reproducing any of them. Mechanised construction around 1880 made ornament cheap and fast, which is why façades carry so much of it. The movement runs roughly 1880–1920 in Québec and is called Victorian for Victoria's reign (1837–1901); for this current, ""chaque œuvre est unique en soi"".",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 35 — six captioned examples, including a cottage vernaculaire américain with very elaborate wood ornament at 45 chemin du Bout-de-l'Île and a maison cubique with a corner oriel at 20 avenue Orléans. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.cottage-vernaculaire-americain,ile-orleans,Île d'Orléans,p4,1900 – 1935,"Catalogue types — vernaculaire américain, cubique, Boomtown, Arts and Crafts",American vernacular cottage,Le cottage vernaculaire américain,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 36","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",industrial-vernacular-cottage,vernaculaire-industriel,Vernaculaire industriel (Québec industrial vernacular),single-family,1.5–2,gabled,45,vertical,wood; asbestos-cement-shingle; roughcast,traditional tin,,,,,,,"""Ce courant est peu représenté dans le site patrimonial, mais il est présent dans la majorité des municipalités en quelques exemplaires."" | Elsewhere in Québec it is ""le type le plus varié et le plus courant dans la première moitié du 20e siècle"" — the island is the exception.","Rectangular volume showing a simplification of form. | A 1½-storey plank carré under a straight two-slope roof at 45° or with half-hips; the two-storey low-pitch model is also widespread. | Sub-variants: the cottage with half-hipped roof and the cottage with a gable dormer, otherwise identical.","Ornament drawn from the 19th-century repertoire but standardised and bought in: chambranles, planches cornières, aisseliers, frontons.","Machined doors and windows — casement with transom, or sash.","Light claddings: wood boards, asbestos-cement shingle, roughcast. | Gallery under an independent awning, often present.",,,verified,,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"The traditional Québec house rebuilt out of a catalogue. The inventory is precise about the difference: this one rises to 1½ or 2 storeys instead of one and a half, which gives it more verticality, and its two straight slopes at 45° have no curved larmier. The symmetry survives; the carpentry does not.","American vernacular architecture, the inventory says, is not a style at all — ""elle reprend souvent les formes du siècle précédent en les simplifiant"". What is new is the supply chain: milled beams and boards, doors and windows standardised and sold by catalogue, and the balloon frame (charpente claire) that made building fast and let a standard plan be fitted to a client's means. On this island the courant is thin, but it appears in nearly every municipality.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 37 — six captioned examples, including a large gallery example and a gable-dormer variant, at Saint-Jean, Sainte-Pétronille, Sainte-Famille and Saint-Laurent. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.arts-and-crafts,ile-orleans,Île d'Orléans,p4,1900 – 1935,"Catalogue types — vernaculaire américain, cubique, Boomtown, Arts and Crafts",Arts and Crafts architecture,L'architecture Arts & Crafts,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 42","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",arts-crafts-articulated-house,arts-and-crafts; arts-et-metiers,Arts and Crafts / Arts & métiers (Québec usage for Arts and Crafts),single-family,1.5–2.5,gabled-multi,,vertical,stone; brick; stucco; cedar-shingle; wood,varied,,,,,,,"""Il existe peu d'exemples de ce style dans le site patrimonial de l'Île-d'Orléans et ils sont principalement situés à Sainte-Pétronille."" | The inventory restricts the current to domestic and villégiature architecture only.","A more or less imposing volume on an articulated plan — simple volumes distributed freely. | Roofs of varied form, with slopes or half-hips sometimes of unequal length, the larmier often projecting well past the façades.","Ornament often limited to members of the frame: colombage, exposed rafters, gallery supports. | ""Chaque cas est unique et possède ses propres caractéristiques.""","Numerous and varied openings, with paired windows and hipped, lean-to or triangular dormers.","Natural and traditional materials — stone, brick, stucco, cedar shingle, wood boards — sometimes combined. | Sheltered outdoor spaces: perrons, galleries, terraces.",,,verified,UP-2; UP-3,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"A house that breaks into wings and sheltered outdoor rooms under big overhanging roofs, with the structure itself doing the decorating — half-timbering, rafter ends carried out beyond the eaves, worked gallery posts. The inventory declines to generalise further, and says so: every case is its own.","The English Arts and Crafts movement, rooted in Morris and Ruskin, argued for handwork, traditional materials and local skill against mass production. Crossing to the United States it lost the argument and kept the look: ""en Amérique, le mouvement Arts and Crafts devient essentiellement un mouvement stylistique, sans portée sociale"" — false half-timbering and slate roofs belonging to no local tradition, distributed by catalogue. On this island it is a Sainte-Pétronille resort style, and its best examples are the house and studio of the painter Horatio Walker.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 43 — six captioned examples, all at Sainte-Pétronille, led by the maison and studio d'Horatio-Walker at 11 and 13 chemin Horatio-Walker. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.maison-boomtown,ile-orleans,Île d'Orléans,p4,1900 – 1935,"Catalogue types — vernaculaire américain, cubique, Boomtown, Arts and Crafts",Boomtown house,La maison Boomtown,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 40","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",boomtown-false-front,boomtown,Boomtown (false front),single-family,2,flat-or-low-slope,,vertical,wood; brick,flat or low slope to the rear,,,,,,,"""Sur le territoire du site patrimonial de l'Île-d'Orléans, on retrouve quelques exemplaires de maisons Boomtown dans toutes les municipalités."" | Both a domestic and a commercial current: ""il n'est pas rare de retrouver un commerce au rez-de-chaussée avec un logement à l'étage"".","Cubic or rectangular two-storey volume, barely raised off the ground. | Flat roof, or a slight slope draining to the rear.","Ornament concentrated at the top of the façade: a modillon or console cornice, a stepped parapet, or brick patterning. | Other ornament stays discreet — chambranles, planches cornières, brick platebandes.","Regular distribution of openings, generally symmetrical. | Casement windows with large panes, casement with transom, or sash.","Wood-plank or brick cladding. | Few projections beyond a gallery under an awning, sometimes with a balcony above on the central third.",,,verified,,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"A flat-topped two-storey box that spends all its ornament in one place — the top of the front wall, where a bracketed cornice or a stepped parapet makes the building look taller and squarer than it is. Everything below that is plain boards or brick and a gallery.","The balloon frame, ""qualifiée d'American Boomtown"", arrived with the fast growth of American cities and spread especially after the economic crisis of 1870 as a cheap, quick way to build in boom towns. In Québec it coexists with the traditional and mansard houses before supplanting them at the turn of the 20th century. On this island it never supplanted anything, but there are examples in all six municipalities.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 41 — six captioned examples, including stepped-parapet houses at 504 and 1913 chemin Royal and a shop-house at 148 chemin du Bout-de-l'Île. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
ile-orleans.maison-cubique,ile-orleans,Île d'Orléans,p4,1900 – 1935,"Catalogue types — vernaculaire américain, cubique, Boomtown, Arts and Crafts",Cubic house (Four Square),La maison cubique,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 38","Patri-Arch inventory synthesis (cover Août 2014, fieldwork 2013–14, reissued 2025 as …maj2025.pdf), ""Principaux éléments caractéristiques""",foursquare-hipped-2st,foursquare,American Foursquare,single-family,2,hipped-or-pyramidal,,vertical,brick; wood; cedar-shingle; embossed-tin; asbestos-cement-tile,"traditional tin, sometimes flat",,,,,,,"""La maison cubique est assez peu représentée dans le site patrimonial de l'Île-d'Orléans."" | A rural echo of an urban phenomenon: standardisation drove growth in the towns first, ""ce phénomène se répercutera ensuite dans les milieux ruraux"".","Cubic volume on a square plan of two full storeys, raised slightly off the ground. | Low-pitch pavilion (four-slope) roof, sometimes flat; usually a dormer on the front slope.","""Ornementation variable selon le statut social du propriétaire"" — the one type whose decoration the inventory ties explicitly to the owner's standing. | Picturesque influences show up on some models: aisseliers, ornamental woodwork, cornices.","Regular distribution of openings. | Casement windows with large panes, casement with transom, or sash; hipped, gable, triangular or lean-to dormers, sometimes replaced by gables.","Brick, or light cladding: wood boards, cedar shingle, embossed tin, asbestos-cement tile. | Gallery under an independent awning across the front, sometimes with a balcony above.",,,verified,,,,"courant architectural (MRC de L'Île-d'Orléans inventory, 11 courants)",,,False,True,https://mrc.iledorleans.com/stock/fra/rapport_synthese_io_050919_maj2025.pdf,"Two entire floors under a shallow pavilion roof, on a square plan — a shape whose whole point is interior volume. The inventory says as much: its interest ""réside dans les dimensions de son espace habitable"", giving an ordinary family the room of a bourgeois house. How much ornament it carries depended on who was paying.","An American model, ""conçu par l'architecte Frank Kidder en 1891"" and commonly called the Four Square house, spread through catalogues and trade journals across North America. It reached Québec's towns on the back of cheap standardised materials and falling construction costs, then reached the countryside. On Île d'Orléans it stayed rare.",,"MRC de L'Île-d'Orléans / Patri-Arch, rapport de synthèse, p. 39 — six captioned examples at Saint-Pierre, Saint-François, Saint-Jean and Sainte-Famille, including a brick example at 1634 chemin Royal. © Patri-Arch; rights ceded to the MRC de L'Île-d'Orléans. Not reproduced here."
