street,civic_numbers,model_code,units
Rue Fickes,1886,D05,1
Rue Fickes,1890-94,F13,2
Rue Fickes,1891,M03,1
Rue Fickes,1895,T06,1
Rue Fickes,1898,D05,1
Rue Fickes,1901-05,F15,2
Rue Fickes,1902-06,F07,2
Rue Fickes,1910-14,Q02,2
Rue Fickes,1926,,1
Rue Geoffrion,2928,T06,1
Rue Geoffrion,2929,F12,1
Rue Geoffrion,2933,H03,1
Rue Geoffrion,2937,H03,1
Rue Geoffrion,2941,Q02,1
Rue Geoffrion,2950,,1
Rue Geoffrion,2954,,1
Rue Geoffrion,2951-53-55-57-59-61,R04,6
Rue Geoffrion,2971-73-75-77-79,R04,5
Rue Hare,2747,A04,1
Rue Hare,2748,C03,1
Rue Hare,2751,D01,1
Rue Hare,2752,B01,1
Rue Hare,2755,A07,1
Rue Hare,2756,F02,1
Rue Hare,2759,A02,1
Rue Hare,2760,D02,1
Rue Hare,2763,C03,1
Rue Hare,2764,B02,1
Rue Hare,2766,C04,1
Rue Hare,2767,D02,1
Rue Hare,2771,B01,1
Rue Hare,2772,F03,1
Rue Hare,2776,C01,1
Rue Hare,2777-79,A07,2
Rue Hare,2780,A01,1
Rue Hare,2783,C04,1
Rue Hare,2784,D02,1
Rue Hare,2787,B01,1
Rue Hare,2791,C03,1
Rue Hare,2795,D01,1
Rue Héroult,2922-24,,2
Rue Héroult,2928-32,G04,2
Rue Héroult,2936-40,G04,2
Rue Hoopes,1727-31,F11,2
Rue Hoopes,1730-34,F12,2
Rue Hoopes,1735-39,F10,2
Rue Hoopes,1738-42,F14,2
Rue Hoopes,1743-47,F14,2
Rue Hoopes,1746-50,F10,2
Rue Hoopes,1754-58,F14,2
Rue Hoopes,1755,T03,1
Rue Hoopes,1762-66,F11,2
Rue Hoopes,1770,F07,1
Rue Joule,1751,T05,1
Rue Joule,1761,T03,1
Rue Joule,1771,T05,1
Rue La Traverse,2854,C05,1
Rue La Traverse,2858,G01,1
Rue La Traverse,2862-66,F04,2
Rue La Traverse,2870,B04,1
Rue La Traverse,2871,,1
Rue La Traverse,2879,B04,1
Rue La Traverse,2883,E04,1
Rue La Traverse,2887,E01,1
Rue La Traverse,2891,B01,1
Rue La Traverse,2896,E04,1
Rue La Traverse,2900,E01,1
Rue La Traverse,2903,K02,1
Rue La Traverse,2904,B03,1
Rue La Traverse,2908,E01,1
Rue La Traverse,2907,K03,1
Rue La Traverse,2912,B03,1
Rue La Traverse,2915,K01,1
Rue La Traverse,2916,J02,1
Rue La Traverse,2919,K01,1
Rue La Traverse,2920,J01,1
Rue La Traverse,2928,H01,1
Rue La Traverse,2932,,1
Rue La Traverse,2940,,1
Rue Lavoisier,1796,,1
Rue Lavoisier,1800,C03,1
Rue Lavoisier,1804-08,,2
Rue Lavoisier,1812,A07,1
Rue Lavoisier,1816-18,,2
Rue Lavoisier,1820,A01,1
Rue Lavoisier,1824,A02,1
Rue Lavoisier,1828,A04,1
Rue Lavoisier,1836,B02,1
Rue Lavoisier,1840,D01,1
Rue Lavoisier,1844,N,1
Rue Lavoisier,1794,,1
Boulevard Mellon,1806,C02,1
Boulevard Mellon,1807,A02,1
Boulevard Mellon,1811,D01,1
Boulevard Mellon,1812,A02,1
Boulevard Mellon,1815,A02,1
Boulevard Mellon,1816,D01,1
Boulevard Mellon,1819,A07,1
Boulevard Mellon,1820,B01,1
Boulevard Mellon,1823,B01,1
Boulevard Mellon,1824-28,P02,2
Boulevard Mellon,1827,F01,1
Boulevard Mellon,1831,S02,1
Boulevard Mellon,1832,,1
Boulevard Mellon,1835,S01,1
Boulevard Mellon,1836,,1
Boulevard Mellon,1839-41,,2
Boulevard Mellon,1840-42,,2
Boulevard Mellon,1843,,1
Boulevard Mellon,1846-48,,2
Boulevard Mellon,1850,,1
Boulevard Mellon,1851,,1
Boulevard Mellon,1854,B02,1
Boulevard Mellon,1855,,1
Boulevard Mellon,1858,A07,1
Boulevard Mellon,1859,,1
Boulevard Mellon,1862,A01,1
Boulevard Mellon,1863-65,,2
Boulevard Mellon,1866,B02,1
Boulevard Mellon,1869,C04,1
Boulevard Mellon,1873,A07,1
Boulevard Mellon,1877,D01,1
Boulevard Mellon,1881-83,B01,2
Boulevard Mellon,1885,A07,1
Rue Moissan,1708-12,F04,2
Rue Moissan,1713,,1
Rue Moissan,1716,B02,1
Rue Moissan,1717,C04,1
Rue Moissan,1720,D01,1
Rue Moissan,1721,B01,1
Rue Moissan,1724,A04,1
Rue Moissan,1725,B02,1
Rue Moissan,1728,F02,1
Rue Moissan,1729,B01,1
Rue Moissan,1732,A02,1
Rue Moissan,1736,A04,1
Rue Moissan,1737,A02,1
Rue Moissan,1740,F03,1
Rue Moissan,1741,A01,1
Rue Moissan,1744,B01,1
Rue Moissan,1745,D01,1
Rue Moissan,1748,B01,1
Rue Moissan,1749,A02,1
Rue Moissan,1752-56,F05,2
Rue Moissan,1753,B01,1
Rue Moissan,1757,D01,1
Rue Moissan,1760-62,D02,2
Rue Moissan,1761,B02,1
Rue Moissan,1765,B02,1
Rue Moissan,1766,A03,1
Rue Moissan,1769,B01,1
Rue Moissan,1770,C03,1
Rue Moissan,1773,A04,1
Rue Moissan,1774-78,F05,2
Rue Moissan,1777,A04,1
Rue Moissan,1781,C04,1
Rue Montgomery,1692,J04,1
Rue Montgomery,1713-15,,2
Rue Montgomery,1718,J03,1
Rue Montgomery,1722-26,F12,2
Rue Montgomery,1730-34,F13,2
Rue Montgomery,1733,T03,1
Rue Montgomery,1737,S01,1
Rue Montgomery,1738-42,F10,2
Rue Montgomery,1741,S01,1
Rue Montgomery,1745-49,F07,2
Rue Montgomery,1746-50,F13,2
Rue Montgomery,1753-57,F08,2
Rue Montgomery,1754,T06,1
Rue Montgomery,1758,F12,1
Rue Montgomery,1761,S03,1
Rue Montgomery,1765,S03,1
Rue Montgomery,1769-73,F08,2
Rue Montgomery,1777,T03,1
Rue Moritz,2740,A04,1
Rue Moritz,2744,A02,1
Rue Moritz,2748,A03,1
Rue Moritz,2752,A01,1
Rue Moritz,2756,A04,1
Rue Moritz,2760,A02,1
Rue Moritz,2764,D02,1
Rue Moritz,2768,C03,1
Rue Moritz,2772,D02,1
Rue Moritz,2774,B01,1
Rue Moritz,2780,A07,1
Rue Moritz,2784,C04,1
Rue Moritz,2786,B02,1
Rue Moritz,2790-92,A04,2
Rue Moritz,2796,A02,1
Rue Moritz,2798-2800,D01,2
Rue Moritz,2804,A01,1
Rue Moritz,2810,A01,1
Rue Moritz,2820,A02,1
Rue Neilson,1724,T07,1
Rue Neilson,1725,T06,1
Rue Neilson,1728-32,F07,2
Rue Neilson,1729,M07,1
Rue Neilson,1733-35,H03,2
Rue Neilson,1737-41,F13,2
Rue Neilson,1751-53-55,F13,3
Rue Neilson,1756,,1
Rue Neilson,1759,H03,1
Rue Neilson,1763,M07,1
Rue Neilson,1775-79,F13,2
Rue Neilson,1783-87,F07,2
Rue Neilson,1791-95,F10,2
Rue Neilson,1799-1803,F07,2
Rue Neilson,1807-11,F13,2
Rue Neilson,1819,T06,1
Rue Neilson,1823-27,F07,2
Rue Neilson,1831-35,F16,2
Rue Neilson,1839-43,F16,2
Rue Neilson,1847,T06,1
Rue Neilson,1854-58,F07,2
Rue Neilson,1859,M03,1
Rue Neilson,1862,T06,1
Rue Neilson,1863-67,Q02,2
Rue Neilson,1868,M01,1
Rue Neilson,1871-75,Q02,2
Rue Neilson,1872,M03,1
Rue Neilson,1876-80,F15,2
Rue Neilson,1879,M03,1
Rue Neilson,1883-87,P02,2
Rue Neilson,1884,M03,1
Rue Neilson,1888,M01,1
Rue Neilson,1891-95,P02,2
Rue Neilson,1892,T06,1
Rue Neilson,1896-1900,F07,2
Rue Neilson,1899-1901-03,F16,3
Rue Neilson,1904-06,,2
Rue Neilson,1905,M03,1
Rue De Normandie,1670,,1
Rue De Normandie,1673,,1
Rue De Normandie,1674,,1
Rue De Normandie,1677,,1
Rue De Normandie,1678,,1
Rue De Normandie,1681,,1
Rue De Normandie,1682,,1
Rue De Normandie,1685,,1
Rue De Normandie,1686,,1
Rue De Normandie,1689,,1
Rue De Normandie,1690,,1
Rue De Normandie,1693,,1
Rue De Normandie,1694,,1
Rue De Normandie,1697,,1
Rue De Normandie,1698,,1
Rue De Normandie,1701,,1
Rue De Normandie,1702,,1
Rue De Normandie,1706,,1
Rue De Normandie,1725-43,Y,2
Rue De Normandie,1728,,1
Rue De Normandie,1732,,1
Rue De Normandie,1739-41-43,Z,3
Rue De Normandie,1757-59,F07,2
Rue De Normandie,1750-54-58-62-66-70,R03,6
Rue Oersted,1805,D01,1
Rue Oersted,1809,F03,1
Rue Oersted,1813,A07,1
Rue Oersted,1817,B02,1
Rue Oersted,1821,C04,1
Rue Oersted,1824,A07,1
Rue Oersted,1828,A02,1
Rue Oersted,1829,D01,1
Rue Oersted,1832,B02,1
Rue Oersted,1833,A01,1
Rue Oersted,1836,D02,1
Rue Oersted,1837,A03,1
Rue Oersted,1844,D01,1
Rue Oersted,1845,A04,1
Rue Oersted,1846-48,B02,2
Rue Oersted,1849,C03,1
Rue Oersted,1851,B01,1
Rue Oersted,1852,B01,1
Rue Oersted,1856,A07,1
Rue Ohm,2930-34,F15,2
Rue Ohm,2931-35,F15,2
Rue Ohm,2938-42,,2
Rue Ohm,2939,,1
Rue Ohm,2947,,1
Rue Ohm,2950,,1
Rue Parks,2895,T03,1
Rue Parks,2896,S02,1
Rue Parks,2900,,1
Rue Parks,2904,M08,1
Rue Parks,2908,,1
Rue Parks,2912,M97,1
Rue Parks,2916,,1
Rue Parks,2920,S02,1
Rue Parks,2921,T03,1
Rue Powell,1721-23,F07,2
Rue Powell,1725-1729,F09,2
Rue Powell,1733-1737,F09,2
Rue Powell,1734,T03,1
Rue Powell,1738-1742,F08,2
Rue Powell,1741-1745,F07,2
Rue Powell,1746-1750,F07,2
Rue Powell,1749-1753,P03,2
Rue Powell,1754-1758,F08,2
Rue Powell,1757-1761,P02,2
Rue Powell,1765-1769,P02,2
Rue Powell,1762,T03,1
Rue Powell,1768,F07,1
Rue Powell,1770,T03,1
Rue Powell,1773-1777,P03,2
Rue Powell,1781-1783,,2
Rue Powell,1787-1789,,2
Rue Powell,1802-06-10,,3
Rue Powell,1822-26,F13,2
Rue Powell,1829,T06,1
Rue Powell,1830-34,F07,2
Rue Powell,1833-35,F10,2
Rue Powell,1837-41,F08,2
Rue Powell,1838,,1
Rue Powell,1842-46,F07,2
Rue Powell,1845-49,F14,2
Rue Powell,1850-54,F13,2
Rue Powell,1853-57,F08,2
Rue Powell,1860,,1
Rue Powell,1861-65,F10,2
Rue Powell,1864,,1
Rue Powell,1868-72,F07,2
Rue Powell,1869-73,F11,2
Rue Powell,1874-76,,2
Rue Powell,1877-81,F07,2
Rue Powell,1880-84,F08,2
Rue Powell,1885-89,F11,2
Rue Powell,1888,,1
Rue Powell,1892,,1
Rue Powell,1893-97,F13,2
Rue Powell,1894,,1
Rue Powell,1900,,1
Rue Powell,1901-05,F07,2
Rue Powell,1904-08,F10,2
Rue Powell,1909-13,F12,2
Rue Powell,1912-14,,2
Rue Powell,1917-21,F13,2
Rue Powell,1920-24,F07,2
Rue Powell,1925-29,F08,2
Rue Powell,1928,,1
Rue Powell,1933,T06,1
Rue Powell,1943,T07,1
Rue Powell,1947-51,Q02,2
Rue Powell,1959-63,Q02,2
Rue Powell,1967-69,M03,2
Rue Powell,1993-95-97-99-2001-03,R02,6
Rue Powell,2007-09-11-13-15-17,R02,6
Boulevard du Saguenay,2746-2750,T05,2
Boulevard du Saguenay,2751,N,1
Boulevard du Saguenay,2754-2758,F07,2
Boulevard du Saguenay,2755-2757,P03,2
Boulevard du Saguenay,2759-2763,P01,2
Boulevard du Saguenay,2762-2766,F07,2
Boulevard du Saguenay,2767-2769,P01,2
Boulevard du Saguenay,2768,,1
Boulevard du Saguenay,2771-2775,P03,2
Boulevard du Saguenay,2774-2778,P02,2
Boulevard du Saguenay,2779-2783,T,2
Boulevard du Saguenay,2782-2786,P02,2
Boulevard du Saguenay,2787,M02,1
Boulevard du Saguenay,2788-2790,,2
Boulevard du Saguenay,2791,M02,1
Boulevard du Saguenay,2794,M01,1
Boulevard du Saguenay,2795-2799,T,2
Boulevard du Saguenay,2803,,1
Boulevard du Saguenay,2816-2820,N,2
Boulevard du Saguenay,2821-2825,T,2
Boulevard du Saguenay,2824-2828,Q,2
Boulevard du Saguenay,2829,M03,1
Boulevard du Saguenay,2832-2836,P01,2
Boulevard du Saguenay,2833,M03,1
Boulevard du Saguenay,2837-2841,T,2
Boulevard du Saguenay,2840-2844,P01,2
Boulevard du Saguenay,2845-2847,P03,2
Boulevard du Saguenay,2848-2852,Q,2
Boulevard du Saguenay,2849-2853,P01,2
Boulevard du Saguenay,2857-2861,P03,2
Boulevard du Saguenay,2858,P02,1
Boulevard du Saguenay,2860-2864,P02,2
Boulevard du Saguenay,2865,M01,1
Boulevard du Saguenay,2868,N,1
Boulevard du Saguenay,2910,,1
Boulevard du Saguenay,2914-22-26-30,,4
Rue Salter,2815-19,F13,2
Rue Wohler,1810,A01,1
Rue Wohler,1814,C03,1
Rue Wohler,1818,A02,1
Rue Wohler,1820-22,C01,2
Rue Wohler,1826,B01,1
Rue Wohler,1830,D01,1
Rue Wohler,1834,A03,1
Rue Wohler,1835,A01,1
Rue Wohler,1838,B02,1
Rue Wohler,1839,B02,1
Rue Wohler,1842,A07,1
Rue Wohler,1843,A02,1
Rue Wohler,1844-46,C04,2
Rue Wohler,1847,D02,1
Rue Wohler,1850,D02,1
Rue Wohler,1852-54,B01,2
Rue Wohler,1855,D02,1
Rue Wohler,1858-62-66-70,A06,4
Rue Wohler,1859,A07,1
Rue Wohler,1863-65,B01,2
Rue Wohler,1874,A07,1
Rue Wohler,1876-78,B02,2
