IDENTIFIANT_BATIMENT,NOM_HISTORIQUE ,TYPOLOGIE_SPECIFIQUE,CIVIQUE_MIN,CIVIQUE,TYPE_DE_VOIE,CIVIQUE_MAX,LIEN,VOIE,EST_OUEST,ARRONDISSEMENT,HISTORIQUE_SOMMAIRE ,DEBUT_DES_TRAVAUX,FIN_DES_TRAVAUX,CENTRO_X,CENTRO_Y
0039-28-3796-01,Magasin-entrepôt Johnston-Thompson II [1859],magasin-entrepôt,430,430,rue,430,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1859,,-73.5579,45.501
0039-28-3796-02,Magasin-entrepôt Mills I,magasin-entrepôt,432,432,rue,432,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1864,,-73.558,45.501
0039-28-4364-01,Magasin-entrepôt Succession-Delorme [1880],magasin-entrepôt,425,425,rue,425,,McGill,,Ville-Marie (Montréal),,1880,,-73.5579,45.5006
0039-28-4364-02,Magasin-entrepôt succession Delorme [1859-1860],magasin-entrepôt,415,415,rue,415,,Le Moyne,,Ville-Marie (Montréal),NULL,1859,1860,-73.5578,45.5007
0039-28-5487-00,Magasin-entrepôt Johnston-Thompson I [1859],magasin-entrepôt,424,424-426,rue,426,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1859,,-73.5577,45.5009
0039-28-8742-00,Édifice Shaughnessy,gratte-ciel,401,401-407,rue,407,,McGill,,Ville-Marie (Montréal),"L'édifice Shaughnessy doit son nom à sir Thomas Shaughnessy qui acquiert, au début du XXe siècle, une propriété située sur la rue McGill, propriété sur laquelle, quelques mois avant d'entreprendre la nouvelle construction, étaient érigés deux hôtels. Shaughnessy est président de la Canadian Pacific Railway Co., mais il est aussi président de la firme Dorchester Realties à laquelle il transfert les titres de propriété en 1912. Réalisé sous la direction de la firme d'architectes Hutchison, Wood and Miller, le nouvel immeuble de bureaux de dix étages, terminé en 1912, est d'abord conçu pour répondre aux besoins de gestion de transport et de communication de la compagnie de chemin de fer.

L'édifice Shaughnessy peut accueillir bien davantage que les bureaux de la Canadian Pacific Railway. Sa localisation à proximité du port de Montréal attire les bureaux de diverses entreprises industrielles ou manufacturières, mais surtout de courtiers en douane. Le rez-de-chaussée est occupé par les bureaux du C.P.R. Telegraph et une succursale de la Banque de Montréal qui est présente dans l'immeuble durant plus de 80 ans. 

La Dorchester Realties vend sa propriété en 1939 et le Shaughnessy connaît une succession de propriétaires par la suite. Les locataires aussi se multiplient et se diversifient, de nombreuses firmes d'import-export ou d'expédition de marchandises en mer s'y retrouvent. Il est cependant intéressant de noter, entre 1929 et le début des années 1990, la présence du Chemin de fer Canadien National parmi les occupants de cet immeuble initialement construit pour répondre aux besoins de la Canadian Pacific Railway Co.


",1912,,-73.5573,45.5005
0039-28-9082-00,Magasin-entrepôt Jesse-Joseph IV,magasin-entrepôt,390,390,rue,390,,Le Moyne,,Ville-Marie (Montréal),"
Ce magasin-entrepôt fait partie d’une série de cinq bâtiments construits en 1857 par Jesse Joseph, marchand et consul de Belgique, d'après les plans de l'architecte James H. Springle. C’est en 1853 que Jesse Joseph s’est porté acquéreur d’un terrain sur la rue Le Moyne sur lequel se trouvent alors des hangars en bois entourant une cour intérieure. Le magasin-entrepôt compte à l’origine trois étages complets et un quatrième étage attique. Trois autres magasins-entrepôts compléteront ensuite l'ensemble dont Jesse Joseph demeurera propriétaire jusqu’à sa mort, en 1904.

Le premier occupant du bâtiment est Elliot & Co., marchands en gros de quincaillerie. Cette entreprise demeure dans le magasin-entrepôt durant huit ans, de 1858 à 1866. Durant la majeure partie de son histoire on trouve dans le bâtiment, entre un et deux espaces locatifs. À la fin du XIXe siècle, le bâtiment est occupé par des entreprises liées au secteur du cuir comme J. & R. McCready & Co, manufacturiers de chaussures. Parmi celles-ci, notons la compagnie d’Alexander J. Stevenson qui occupe les lieux environ trente ans. L’entreprise utilise l’immeuble comme bureau et salle de montre, alors que le cuir est produit dans une tannerie de Saint-Henri. 

Par la suite, l’histoire du magasin-entrepôt devient plus complexe et ce, jusque dans les années 2000. Notons que dans les années 1940, l'étage attique est enlevé. De l’entreprise de boisson gazeuse des années 1920 à une entreprise textile dans les années 1940 en passant par une agence de publicité en 2000, la diversité est grande. On note toute de même que plus on avance dans le XXe siècle, plus les compagnies qui occupent le bâtiment relèvent du secteur des services. Les fonctions de fabrication et de vente disparaissent complètement dans les années 1960-1970. Des travaux de de rénovation et de restauration sont réalisés dans les années 1980.",1857,,-73.5573,45.5008
0039-28-9589-00,Magasin-entrepôt Jesse-Joseph III,magasin-entrepôt,386,386,rue,386,,Le Moyne,,Ville-Marie (Montréal),"Ce magasin-entrepôt est construit en 1857, avec quatre autres semblables, par Jesse Joseph, marchand et consul de Belgique, d'après des plans de l'architecte James H. Springle. C’est en 1853 que Jesse Joseph s’est porté acquéreur d’un terrain, rue Le Moyne, sur lequel se trouvent alors des hangars en bois entourant une cour intérieure. À l’origine, le magasin-entrepôt compte trois étages, incluant le rez-de-chaussée, ainsi qu’un quatrième étage attique. Trois autres magasins-entrepôts compléteront ensuite l'ensemble dont Jesse Joseph demeurera  propriétaire jusqu’à sa mort, en 1904. Son premier locataire, présent en 1858, est  William Hobbs, agent pour des manufacturiers britanniques. Il occupe l’immeuble entier et y fait certainement de la vente en gros; il y demeure durant trois ans.

Les entreprises qui vont occuper ce magasin-entrepôt au fil du temps proviennent de différents secteurs d’activités, ce qui a pour effet de diversifier les fonctions liées à l’occupation du bâtiment. Au XIXe siècle on y trouve successivement, entre autres, un fabricant de crinoline, un peintre, un marchand de <i>dry goods</i> (tissus, articles de mercerie et peut-être d’autres produits), et un tailleur. Dans les années 1920, il semble y avoir un réaménagement intérieur; désormais deux ou trois locataires se partagent simultanément le bâtiment. C’est probablement dans cette décennie que le quatrième étage est modifié. En effet, cet étage attique disparaît au profit d’un quatrième étage complet, en brique. L’occupant qui marque le plus profondément l’histoire de l’immeuble est C.A. Duclos Leather, grossiste en cuir, qui demeure dans le bâtiment dès années 1920 aux années 1980. La fonction principale de ce bâtiment reste résolument commerciale. 

À la fin du XXe siècle, l’immeuble change radicalement de fonction. En l’an 2000, quatre logements occupent  l’ancien magasin-entrepôt.",1857,,-73.5572,45.5009
0039-29-1413-00,Magasin-entrepôt Jesse-Joseph [1863-1864],magasin-entrepôt,440,440,rue,440,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1863,1864,-73.5583,45.5011
0039-29-1958-00,Magasin-entrepôt Gault Brothers,magasin-entrepôt,447,447-449,rue,449,,Sainte-Hélène,,Ville-Marie (Montréal),"Le commerce de la Gault Brothers Co. connaissant une forte expansion, les frères Gault retiennent les services de l’architecte John James Browne afin de construire un nouvel immeuble pour abriter leurs bureaux et salles de montre. Le terrain convoité pour ce projet se trouve en face des anciens locaux de la Gault Brothers Co. Andrew Frederick Gault l’achète en 1870 de la succession Olivier Théophile Bruneau. Au moment de la transaction, un vieil immeuble en pierre de trois étages occupe une partie du lot. Le bâtiment et ses dépendances sont aussitôt démolis. Le nouveau magasin entrepôt de cinq étages avec toit mansardé est construit en 1871 et occupé entièrement par le propriétaire en 1872. L’entrée principale au coin de la rue est particulièrement remarquable et reflète bien l’image de marque que veut se donner l’entreprise. 

En 1914, la succession d’Andrew Frederick Gault, décédé en 1903, vend l’immeuble au grossiste londonien en tissu Debenhams Co. Il change de nouveau de propriétaire en 1945 quand la compagnie de chaussures Lafayette Shoe Manufacturing l’achète, y installe ses ateliers et y poursuit ses activités jusqu’à sa revente au milieu des années 1960. À partir de cette date, l’immeuble est partagé entre plusieurs locataires. Au milieu des années 1990, le bâtiment subit d’importantes rénovations et est transformé en hôtel. L’hôtel Gault a ouvert ses portes en juin 2002.

",1871,,-73.5582,45.5015
0039-29-2406-00,Magasin-entrepôt Mills II,magasin-entrepôt,434,434-438,rue,438,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1864,,-73.5581,45.5011
0039-29-3150-00,Édifice Hutton,magasin-entrepôt,445,445,rue,445,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1861,,-73.5581,45.5014
0039-29-4939-01,Entrepôt Chase & Sanborn,indéterminé,431,431,rue,431,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1907,,-73.5577,45.5013
0040-69-9741-00,410-418 rue Notre-Dame Est,non applicable,410,410-418,rue,418,,Notre-Dame,Est,Ville-Marie (Montréal),,1998,,-73.5521,45.5104
0039-29-4939-02,433 rue Sainte-Hélène ,magasin-entrepôt,433,433,rue,433,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,1873,,-73.5579,45.5014
0039-29-5377-00,Magasins-entrepôts Corse,magasin-entrepôt,438,438-440,rue,440,,Saint-Pierre,,Ville-Marie (Montréal),,1858,,-73.5577,45.5017
0039-29-3786-00, rue Récollets ,indéterminé,360,,rue,360,des,Récollets,,Ville-Marie (Montréal),,1858,,NULL,NULL
0039-29-6568-00,Magasin-entrepôt Alexander-Urquhart,magasin-entrepôt,432,432-434,rue,434,,Saint-Pierre,,Ville-Marie (Montréal),NULL,1855,1856,-73.5576,45.5016
0039-29-7461-00,Magasin-entrepôt William-Carter III,magasin-entrepôt,430,430,rue,430,,Saint-Pierre,,Ville-Marie (Montréal),,1856,1857,-73.5575,45.5016
0039-29-8256-00,Magasin-entrepôt William-Carter II,magasin-entrepôt,428,428,rue,428,,Saint-Pierre,,Ville-Marie (Montréal),,1856,1857,-73.5574,45.5016
0039-29-9448-00,Magasin-entrepôt William-Carter I,magasin-entrepôt,420,420,rue,420,,Saint-Pierre,,Ville-Marie (Montréal),,1856,1857,-73.5572,45.5014
0039-37-1862-00,Édifice du Grand-Tronc,non applicable,360,360,rue,360,,McGill,,Ville-Marie (Montréal),"L’édifice du Grand Tronc est construit entre 1899 et 1902. La Ville de Montréal cède des terrains à la compagnie de transport du Grand Tronc en 1899 en vertu d’une entente par laquelle la compagnie s’engage, entre autres, à maintenir son siège social canadien dans l’édifice pendant au moins vingt ans. Geste rare pour une entreprise anglo-canadienne, la compagnie du Grand Tronc confie la conception à un architecte américain, Richard A. Waite, plutôt qu’à un Britannique. 

Les travaux débutent au printemps 1899 après la destruction des bâtiments qui s’y trouvaient. Au terme d’une construction plus longue que prévue &#8211; les travaux sont ralentis en 1899 en raison d'une pénurie d'acier &#8211;, le somptueux édifice est inauguré le 3 juin 1902. Des filiales de la compagnie du Grand Tronc, dont la Canadian Express, s’installent au rez-de-chaussée et au premier étage, tandis que les étages supérieurs logent des services administratifs et d’ingénierie.  

En 1961, le Canadien National, anciennement la compagnie du Grand Tronc, vend l’édifice au gouvernement du Québec et déménage son siège social au centre-ville. L’immeuble de bureaux héberge dès lors de nombreux services gouvernementaux. En 1987-1988, la Société immobilière du Québec entreprend des travaux de restauration et de rénovation. Le ministère des Relations avec les citoyens et de l’Immigration y aménage en 1988.
",1899,1902,-73.557,45.4998
0039-37-7145-00,Magasin-entrepôt John-Young III,magasin-entrepôt,600,600-612,rue,612,,William,,Ville-Marie (Montréal),,1853,1854,-73.5562,45.4996
0039-37-7841-00,Magasin-entrepôt John-Young II,magasin-entrepôt,138,138-140,rue,140,,McGill,,Ville-Marie (Montréal),,1853,1854,-73.5562,45.4996
0039-37-8936-00,Magasin-entrepôt John-Young I,magasin-entrepôt,130,130-134,rue,134,,McGill,,Ville-Marie (Montréal),,1853,1854,-73.556,45.4995
0039-09-3563-00,Édifice de la Eastern Townships  Bank,gratte-ciel,437,437,rue,437,,Saint-Jacques,,Ville-Marie (Montréal),"Cet édifice, œuvre de l’agence d’architectes Cox et Amos, est construit entre 1907 et 1909 par la Eastern Township Bank. Le rez-de-chaussée loge au départ les bureaux montréalais de la Eastern Township Bank, une banque fondée à Sherbrooke en 1859. Les étages supérieurs hébergent entre autres des compagnies d’assurances, la firme de courtage de Louis-Joseph Forget, les bureaux de la Canadian Car and Foundry Company et le consulat américain. 

En 1912, la Canadian Bank of Commerce devient propriétaire de l’immeuble en faisant l’acquisition de la Eastern Township Bank. Elle le revend en 1919 à une autre institution bancaire, la Banque de Nouvelle-Écosse. Cette dernière s’installe dans les locaux délaissés quelques années plus tôt par la Eastern Township Bank. En 1960, la Banque de Nouvelle-Écosse fait démolir le bâtiment voisin au nord (l’ancien édifice de la Richelieu & Ontario Navigation Company) et procède à l’agrandissement de son bâtiment. Quatre travées sont alors ajoutées du côté du square Victoria. En outre, on ajoute un étage à l’édifice, ce qui entraîne la destruction de la corniche originale. En 2005, la Banque de Nouvelle-Écosse tient toujours une succursale au rez-de-chaussée.",1907,1909,-73.5605,45.5016
0039-09-9541-00,Édifice de la Banque-Toronto-Dominion,gratte-ciel,500,500,rue,500,,Saint-Jacques,,Ville-Marie (Montréal),,1960,1961,-73.5598,45.5014
0039-18-1875-00,Immeuble Joseph-Ulric-Cartier,non applicable,484,484-488,rue,488,,McGill,,Ville-Marie (Montréal),"Dès les années 1900, le restaurateur Joseph-Ulric Cartier loue un espace dans un petit immeuble situé sur la rue Notre-Dame. En février 1907, il achète l'immeuble de Ida Torrence et John Travis et y poursuit ses activités commerciales. Trois ans plus tard, Cartier fait démolir son immeuble et confie à l'architecte Charles Bernier la conception d'un nouvel édifice de cinq étages. L'immeuble est construit en 1911 et, dès 1912, il accueille ses nouveaux locataires.

À la barre du <i> Florence </i>, Cartier poursuit son métier de restaurateur au rez-de-chaussée. Quelques petits commerçants reviennent, mais l'édifice est essentiellement occupé au départ par des avocats, des courtiers, des agents immobiliers et des comptables. 

Cartier décède en 1935 et sa veuve, Marie-Louise Roy, conserve l'édifice. En 1954, les représentants de la succession s'en départissent. Au cours des années, l'édifice connaît plusieurs changements de locataires, mais sa vocation d'immeuble à bureaux ne change pas : il attire de nombreuses entreprises d'import-export et des courtiers. À la fin des années 1980, le bâtiment a fait l'objet d'importants travaux de restauration. Encore aujourd'hui les locataires y sont très variés et le rez-de-chaussée maintient toujours sa vocation commerciale.

",1911,1912,-73.5595,45.5008
0039-18-2463-00,Magasin-entrepôt William-Stephen I,magasin-entrepôt,478,478,rue,478,,McGill,,Ville-Marie (Montréal),NULL,1853,,-73.5594,45.5007
0039-18-3358-01,Magasin-entrepôt John-James-Day,magasin-entrepôt,474,474,rue,474,,McGill,,Ville-Marie (Montréal),NULL,1863,,-73.5592,45.5007
0039-18-3358-02,Entrepôt James-Adams-Mathewson,non applicable,475,,rue,475,,De Longueuil,,Ville-Marie (Montréal),"Cet entrepôt à l'origine en pierre de trois étages est construit vers 1865. L'épicier Samuel Mathewson acquiert en 1853 cet emplacement donnant sur la rue de Longueuil avec une étable ou une dépendance. Tout indique que son fils James Adams, qui hérite de la propriété en 1854, fait construire entre 1855 et 1880 un bâtiment similaire à l'immeuble contigu au sud lui appartenant. Le nouveau bâtiment sert d'entrepôt à l'entreprise des Mathewson, spécialisée dans la vente en gros et au détail de produits d'épicerie, jusqu'en 1946. Vers 1910, le bâtiment, probablement relié par l'intérieur à l'entrepôt voisin au sud, est augmenté de trois étages en brique.

La famille Mathewson vend l'immeuble en 1948. Par la suite, son histoire est associée à celle de l'immeuble voisin au 474, rue McGill. 
",1865,,-73.5593,45.5006
0039-18-4254-01,Maison-magasin Samuel-Mathewson,maison-magasin,468,468-470,rue,470,,McGill,,Ville-Marie (Montréal),"L'épicier Samuel Mathewson fait construire cette maison-magasin en 1841. Mathewson avait acquis en juillet de cette même année la moitié d'un emplacement appartenant en son entier à John Mathewson et la moitié d'un magasin en pierre donnant sur la rue de Longueuil. À l'instar de bâtiments semblables, cette maison-magasin est conçue pour servir à des fins résidentielles et commerciales. Mathewson établit son magasin au rez-de-chaussée et sa résidence au-dessus. 

Au décès de Samuel Mathewson en avril 1854, son fils James Adams hérite de la propriété et suit les traces de son père. Jusqu'au tournant du siècle, l'entreprise familiale oeuvrant dans la vente en gros de produits d'épicerie occupe la plus grande partie du bâtiment comme magasin et un étage sert de logement à des membres de la famille. James Adams Mathewson meurt en 1905. L'immeuble est alors toujours occupé par l'entreprise de la famille, qui concentrera graduellement ses activités davantage dans les entrepôts sur la partie arrière de l'emplacement et qui sont reliés à la partie avant par une aile, mais aussi par les commerces d'un importateur et d'un manufacturier. Il ne sert plus à l'habitation sauf peut-être pour le gardien du bâtiment. Des rénovations, sans plus amples précisions, sont apportées à l'immeuble en 1910.

La famille Mathewson vend le bâtiment en 1948. À compter des années 1960, son rez-de-chaussée abrite un restaurant. En 1985, un incendie survient dans les cuisines du restaurant endommageant aussi un magasin de fourrures, les locaux d'un importateur et d'un marchand d'équipement de restauration. 

En 2004, l'immeuble, transformé en copropriété, a retrouvé sa double vocation résidentielle et commerciale.  
",1841,,-73.5591,45.5007
0039-18-4254-02,Immeuble John-Mathewson,non applicable,471,,rue,471,,De Longueuil,,Ville-Marie (Montréal),"Le fabricant de savon et de chandelles John Mathewson fait bâtir ce magasin à l'origine en pierre de trois étages en 1837-1838. Mathewson avait acquis à l'automne 1836 un grand emplacement vacant comprenant aujourd'hui les terrains des immeubles au 468-470 et au 464, rue McGill. Le nouvel immeuble décrit dans les contrats notariés comme une maison, un hangar ou un magasin, sert probablement dès le départ de lieu d'entreposage et de magasin pour l'entreprise de Mathewson. 

L'épicier Samuel Mathewson achète la moitié nord de l'emplacement et du magasin en 1841. Il y installe l'entrepôt de son commerce établit dans une nouvelle maison-magasin donnant sur la partie avant du lot, sur la rue McGill. Au décès de Mathewson en 1854, son fils James Adams hérite de la propriété et poursuit l'œuvre de son père. L'entreprise familiale se sert du bâtiment comme entrepôt jusqu'en 1946. L'immeuble, relié par une aile au bâtiment de la rue McGill et probablement par l'intérieur à l'entrepôt voisin au nord appartenant à la famille, est augmenté de trois étages en brique vers 1910. 

En 1948, la famille Mathewson vend le bâtiment. Par la suite, celui-ci sert toujours de dépendance aux commerces et restaurant de l'immeuble voisin sur la rue McGill.
",1837,1838,-73.5592,45.5005
0039-18-5050-00,Magasin-entrepôt Charles-Phillips,magasin-entrepôt,464,464,rue,464,,McGill,,Ville-Marie (Montréal),"L’édifice porte le nom du constructeur de l’édifice, même si celui-ci n’est propriétaire que pendant deux ans. Charles Phillips achète en 1869 un lot sur lequel est érigé un bâtiment de petite dimension ne couvrant que la moitié du terrain. On y retrouve un magasin de tissu et deux logements. Phillips démolit rapidement ce bâtiment et ses dépendances, et construit ensuite en 1870 un magasin entrepôt de quatre étages couvrant tout le lot. La fonction résidentielle disparaît par le fait même. Phillips revend le tout en 1871 au premier et seul locataire, Robert Wilkes, importateur de bijoux et de montres de Toronto, membre de divers conseils d,administration et politicien. La succursale de Montréal est gérée par John H. Jones.

Wilkes meurt par noyade avec deux de ses enfants en 1880. Le fonds de commerce passe alors aux mains de Jones. La succession Wilkes, toujours propriétaire de l’édifice, loue les étages supérieurs à divers commerçants. La bijouterie continue ses activités sur la rue McGill jusque vers 1902, date à laquelle l’immeuble est vendu à Hiram Levy, importateur de vêtements en laine. Celui-ci devient alors le principal locataire. À l’édifice qui a déjà perdu sa mansarde d’origine, Levy lui ajoute un étage supplémentaire vers 1910.

Vers 1925, Hiram Levy cesse ses activités commerciales à cette adresse mais demeure propriétaire des lieux. Il loue tout le bâtiment à une entreprise de fourrures qui a déjà pignon sur rue au 1171 Sainte-Catherine ouest : A. J. Alexander Ltd. En 1953, 11 ans après la mort de Hiram Levy, son fils Philip vend l’immeuble à Solomon Smith, marchand de fourrures. Le nouveau propriétaire s’installe seul dans le magasin entrepôt, et poursuit ses activités pendant 40 ans sous le nom de S. Smith and Son Fur Co. Ltd., nom que l’on peut encore voir sur le côté du bâtiment. Actuellement, les nouveaux propriétaires rénovent cet édifice situé tout près de la Cité du multimédia.

En résumé, l’édifice Phillips a connu très peu de changements de propriétaires. Sauf pendant un intermède de 20 ans, la vente de produits de luxe (bijoux, puis fourrures) a caractérisé la fonction commerciale et d’entreposage du bâtiment.
",1870,,-73.5591,45.5006
0039-18-5746-00,Magasin-entrepôt George-Burland,magasin-entrepôt,460,460,rue,460,,McGill,,Ville-Marie (Montréal),"L’homme d’affaires George B. Burland fait construire ce magasin-entrepôt en 1886-1887. Burland acquiert la propriété du shérif du district de Montréal en juin 1886. La maison-magasin en pierre de trois étages et demi qui s’y trouve est probablement démolie peu de temps après. Terminé vers le début du printemps 1887, l’immeuble demeure la propriété de la famille Burland jusqu’au début des années 1950. 

La Charles Morton & Co., des marchands en gros de <i>dry goods</i> (tissus, articles de mercerie et, parfois, autres produits), loue tout le bâtiment entre 1887 et 1889. Jusqu’à la fin des années 1920, le bâtiment abrite ce type de commerce, notamment la A. McDougall & Co. qui occupe tout le magasin-entrepôt entre 1903 et 1929. Ces derniers sont remplacés par la Dominion Paper, des grossistes oeuvrant dans le domaine des articles de papier. Cette entreprise loue le bâtiment pendant trente ans et le quitte en 1961. 

En 1997-1998, on transforme le bâtiment en immeuble de bureaux lors d’importants travaux de restauration. Une importante firme de services conseils en aménagement urbain loue ensuite l’immeuble.",1886,1887,-73.559,45.5005
0039-18-9189-00,465 rue McGill ,non applicable,465,465,rue,465,,McGill,,Ville-Marie (Montréal),,1992,1994,-73.5586,45.5009
